OBJECTID;COMMUNE;NO_COMM;ABREVIATION;NO_COM_FEDERAL;LIEN_WWW;SHAPE.AREA;SHAPE.LEN
14;Pregny-Chambésy;37;Py;6634;https://www.acg.ch/?q=node/158;6269099.00740803;11450.9588153405
15;Genthod;25;Gd;6622;https://www.acg.ch/?q=node/158;5300323.84863187;9667.79691368281
16;Bellevue;6;Bl;6606;https://www.acg.ch/?q=node/158;6346794.50458133;14100.735353978
1;Meinier;32;Mr;6629;https://www.acg.ch/?q=node/158;6953480.96601449;15469.4680484342
2;Avusy;4;As;6604;https://www.acg.ch/?q=node/158;5172039.17455692;12501.1501854198
3;Perly-Certoux;35;P.C.;6632;https://www.acg.ch/?q=node/158;2536601.83154243;7387.27166083057
4;Laconnex;30;Lx;6627;https://www.acg.ch/?q=node/158;3831199.10538833;9049.01870461816
5;Vandoeuvres;45;Va;6642;https://www.acg.ch/?q=node/158;4419792.21928025;9288.66135720323
11;Chêne-Bourg;13;C.Bg;6613;https://www.acg.ch/?q=node/158;1280775.7047879;7290.23646902865
13;Russin;40;Ru;6637;https://www.acg.ch/?q=node/158;4909794.45925387;12489.6751981082
17;Cologny;17;Co;6617;https://www.acg.ch/?q=node/158;7432120.01014081;14231.6935453108
18;Chêne-Bougeries;12;C.Bs;6612;https://www.acg.ch/?q=node/158;4140334.19742451;11933.3012317828
19;Avully;3;Al;6603;https://www.acg.ch/?q=node/158;4618320.45526535;11264.7853220594
20;Satigny;41;Sy;6638;https://www.acg.ch/?q=node/158;18921147.910449;20674.7033082393
21;Bernex;7;Bx;6607;https://www.acg.ch/?q=node/158;12953893.7629115;23207.4387177782
22;Aire-la-Ville;1;A.V.;6601;https://www.acg.ch/?q=node/158;2926523.23609206;8187.67433011911
23;Cartigny;9;Ct;6609;https://www.acg.ch/?q=node/158;4383480.31984463;9592.31855051734
6;Choulex;14;Ch;6614;https://www.acg.ch/?q=node/158;3908909.8544632;12800.9102277105
7;Collonge-Bellerive;16;C.Be;6616;https://www.acg.ch/?q=node/158;10692805.255361;14131.3308435454
8;Plan-les-Ouates;36;PLO;6633;https://www.acg.ch/?q=node/158;5853823.95539312;13027.3723560119
9;Presinge;38;Pr;6635;https://www.acg.ch/?q=node/158;4707521.68707808;13336.4516488124
10;Corsier;19;Cr;6619;https://www.acg.ch/?q=node/158;4292776.45356208;12600.0792306927
12;Grand-Saconnex;26;G.S.;6623;https://www.acg.ch/?q=node/158;4382041.8430985;10034.4599675128
24;Confignon;18;Cn;6618;https://www.acg.ch/?q=node/158;2772010.71821178;10900.0745665748
25;Onex;34;Ox;6631;https://www.acg.ch/?q=node/158;2813932.56680845;8800.05439611855
26;Jussy;29;Ju;6626;https://www.acg.ch/?q=node/158;11350265.2189343;18096.6015458076
29;Bardonnex;5;Ba;6605;https://www.acg.ch/?q=node/158;4996992.83679048;12285.5418041567
30;Chancy;11;Cy;6611;https://www.acg.ch/?q=node/158;5380929.0307253;13750.0235231028
31;Meyrin;33;Mn;6630;https://www.acg.ch/?q=node/158;9937363.13112877;15943.2371394963
33;Veyrier;48;Vy;6645;https://www.acg.ch/?q=node/158;6496709.65643443;13652.6795237582
27;Gy;27;Gy;6624;https://www.acg.ch/?q=node/158;3286288.67175096;15240.2816909159
28;Troinex;44;Tr;6641;https://www.acg.ch/?q=node/158;3429907.71284451;9160.55490152929
34;Thônex;43;Th;6640;https://www.acg.ch/?q=node/158;3820220.35812138;13905.9675774109
35;Puplinge;39;Pu;6636;https://www.acg.ch/?q=node/158;2672172.41672061;8547.90984158711
36;Vernier;46;Vn;6643;https://www.acg.ch/?q=node/158;7687334.98878271;16936.1723587249
37;Genève-Petit-Saconnex;23;P.S;6621;https://www.acg.ch/?q=node/158;7535124.04255529;16222.3493638005
38;Genève-Cité;21;V.G.;6621;https://www.acg.ch/?q=node/158;3039908.82422083;8602.83556461584
32;Soral;42;Sl;6639;https://www.acg.ch/?q=node/158;2942051.19552581;12467.4550938093
39;Lancy;31;Ly;6628;https://www.acg.ch/?q=node/158;4774294.70022072;14848.239366923
40;Anières;2;An;6602;https://www.acg.ch/?q=node/158;8771934.52647836;14345.2397275264
41;Hermance;28;He;6625;https://www.acg.ch/?q=node/158;4905640.41698055;10888.8112392036
42;Versoix;47;Vs;6644;https://www.acg.ch/?q=node/158;15149980.8247148;22048.9275613227
43;Genève-Eaux-Vives;22;E.V.;6621;https://www.acg.ch/?q=node/158;3098499.63325939;8717.24367742359
44;Genève-Plainpalais;24;Pl.;6621;https://www.acg.ch/?q=node/158;4622710.24164601;14416.4118005554
46;Dardagny;20;Da;6620;https://www.acg.ch/?q=node/158;8598279.28602455;17973.2104360739
47;Carouge;8;Ca;6608;https://www.acg.ch/?q=node/158;2696644.30743779;8992.90747406734
45;Collex-Bossy;15;Cx;6615;https://www.acg.ch/?q=node/158;6886683.13665516;14215.5345951883
48;Céligny;10;Ce;6610;https://www.acg.ch/?q=node/158;8585919.62554708;20026.9070267638